"date","SiteCode","Month","DOY","BGA","Chl","DO","DOsat","CDOM","pH","Specific.Conductance","Temperature","Turbidity"
2016-08-25,"4917390",8,238,NA,NA,6.71,NA,NA,NA,NA,NA,NA
2016-08-26,"4917390",8,239,NA,NA,6.71,NA,NA,NA,NA,NA,NA
2016-08-27,"4917390",8,240,NA,NA,6.43,NA,NA,NA,NA,NA,NA
2016-08-27,"4917715",8,240,NA,NA,NA,NA,NA,NA,NA,NA,25.93
2016-08-28,"4917390",8,241,NA,NA,6.06,NA,NA,NA,NA,NA,NA
2016-08-28,"4917715",8,241,NA,NA,NA,NA,NA,NA,NA,NA,21.9
2016-08-29,"4917365",8,242,1.7,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-29,"4917390",8,242,NA,NA,8.61,NA,NA,NA,NA,NA,NA
2016-08-29,"4917715",8,242,2.8,NA,NA,NA,NA,NA,NA,NA,52.41
2016-08-30,"4917365",8,243,1.3,4.6,10.78,123.531705942347,NA,8.9,2818,22.88,36.62
2016-08-30,"4917390",8,243,2,9.5,11.18,129.257324584729,NA,8.92,2631,22.4,51.6
2016-08-30,"4917715",8,243,2.6,13.5,14.1,164.692459137942,NA,8.8,2766,24.03,38.87
2016-08-31,"4917365",8,244,1.1,3.9,10.63,125.309275361597,NA,8.9,2833,24.2,110.07
2016-08-31,"4917390",8,244,1.9,7.7,9.56,111.993908047098,NA,8.85,2666,23.67,54.71
2016-08-31,"4917715",8,244,1.4,6.7,10.87,127.433475065484,NA,8.72,2778,24.44,43.59
2016-09-01,"4917365",9,245,1.3,3.9,8.88,105.371821873753,NA,8.84,2830,23.76,167.22
2016-09-01,"4917390",9,245,1.6,6.9,7.01,81.2172596090225,NA,8.73,2682,23.01,154.39
2016-09-01,"4917715",9,245,1.7,5.3,8.29,97.7407491504336,NA,8.62,2789,23.74,298.64
2016-09-02,"4917365",9,246,1.3,4.3,7.83,91.7968921596529,NA,8.76,2834,23.15,149.16
2016-09-02,"4917390",9,246,1.9,7.3,6.73,78.7660597988499,NA,8.64,2686,23.11,137.81
2016-09-02,"4917715",9,246,1.3,10.1,8.9,103.747568366395,NA,8.66,2794,22.84,190.12
2016-09-03,"4917365",9,247,1.7,5,7.72,89.9751110617495,NA,8.73,2839,22.81,221.78
2016-09-03,"4917390",9,247,2.2,7.9,6.7,78.0872077867515,NA,8.6,2720,22.81,320.31
2016-09-03,"4917715",9,247,1.4,7.5,8,91.7457604412043,NA,8.63,2814,21.97,276.66
2016-09-04,"4917365",9,248,2.7,5,7.1,79.3603336888355,NA,8.69,2863,21.43,889.55
2016-09-04,"4917390",9,248,3.4,8.1,5.84,65.1880745875331,NA,8.52,2706,21.74,725.82
2016-09-04,"4917715",9,248,3.2,9.9,7.75,86.6702522529346,NA,8.65,2810,20.95,440.41
2016-09-05,"4917365",9,249,2.5,5.4,8.19,89.7698675976947,NA,8.68,2852,19.68,524.75
2016-09-05,"4917390",9,249,3.5,10.1,6.96,76.1340768293919,NA,8.5,2708,19.69,462.31
2016-09-05,"4917715",9,249,4.1,16.9,9.31,101.346448003812,NA,8.73,2804,19.37,630.47
2016-09-06,"4917365",9,250,2.3,5.7,9.59,104.81833762488,NA,8.71,2868,19.54,155.23
2016-09-06,"4917390",9,250,2.9,10.2,8.82,98.6270261067147,NA,8.64,2723,20.68,253.01
2016-09-06,"4917715",9,250,4.2,19.1,10.13,111.056433770654,NA,8.76,2794,19.7,140.21
2016-09-07,"4917365",9,251,2,6.4,10.5,113.071507383836,NA,8.78,2870,19.96,57.35
2016-09-07,"4917390",9,251,2.6,8.8,9.83,109.659819256142,NA,8.73,2709,20.56,57.64
2016-09-07,"4917715",9,251,2.9,10.9,10.86,120.837527709632,NA,8.8,2803,20.43,77.17
2016-09-08,"4917365",9,252,1.4,5.3,10.78,118.659242192958,NA,8.86,2878,20.74,54.73
2016-09-08,"4917390",9,252,1.8,14,11.52,124.589694688056,NA,8.82,2718,20.57,50.13
2016-09-08,"4917715",9,252,2.4,9.9,11.84,129.279902908782,NA,8.88,2830,20.78,63.8
2016-09-09,"4917365",9,253,1.2,4.9,8.87,97.380189123374,NA,8.79,2887,19.76,297.47
2016-09-09,"4917390",9,253,1.6,7.5,9.28,101.860894908857,NA,8.75,2724,19.85,79.65
2016-09-09,"4917715",9,253,2.1,13.2,11.44,127.113821494248,NA,8.83,2898,20.36,211.22
2016-09-10,"4917365",9,254,2,6.4,8.77,94.4416304529752,NA,8.78,2898,18.98,88.69
2016-09-10,"4917390",9,254,1.4,6.7,8.48,92.9672811821464,NA,8.75,2763,19.69,56.78
2016-09-10,"4917715",9,254,1.3,6.8,10.3,113.239031941389,NA,8.82,2895,19.97,92.28
2016-09-11,"4917365",9,255,1.5,5.5,9.67,106.526638122704,NA,8.83,2897,19.93,211.1
2016-09-11,"4917390",9,255,2.1,10.2,9.19,101.157554337039,NA,8.81,2724,19.89,68
2016-09-11,"4917715",9,255,1.7,9.7,10.29,114.267439098697,NA,8.84,2875,20.52,117.36
2016-09-12,"4917365",9,256,1.8,6,8.42,93.6693873372916,NA,8.79,2910,20.42,513.34
2016-09-12,"4917390",9,256,1.5,7.4,8.13,90.3712532937332,NA,8.79,2722,20.38,122.46
2016-09-12,"4917715",9,256,2.2,13.5,8.91,98.6274311388627,NA,8.81,2885,20.18,367.3
2016-09-13,"4917365",9,257,2.2,7.6,8.49,92.2700597973657,NA,8.78,2914,19.41,505.93
2016-09-13,"4917390",9,257,2.3,9,8.11,89.8796783667467,NA,8.79,2744,20.23,141.23
2016-09-13,"4917715",9,257,2.6,14.2,9.32,101.867247827308,NA,8.86,2956,19.54,516.65
2016-09-14,"4917365",9,258,1.9,8.7,8.02,85.1091734496303,NA,8.73,2892,18.26,279.86
2016-09-14,"4917390",9,258,2.2,10.6,7.22,77.081080929738,NA,8.75,2701,18.39,118.58
2016-09-14,"4917715",9,258,2,9.9,8.41,90.1009329527281,NA,8.81,2954,18.58,175.57
