"date","SiteCode","Month","DOY","BGA","Chl","DO","DOsat","CDOM","pH","Specific.Conductance","Temperature","Turbidity"
2016-08-25,"4917390",8,238,NA,NA,6.7,NA,NA,NA,NA,NA,NA
2016-08-26,"4917390",8,239,NA,NA,6.11,NA,NA,NA,NA,NA,NA
2016-08-27,"4917390",8,240,NA,NA,5.72,NA,NA,NA,NA,NA,NA
2016-08-27,"4917715",8,240,NA,NA,NA,NA,NA,NA,NA,NA,12.95
2016-08-28,"4917390",8,241,NA,NA,5.67,NA,NA,NA,NA,NA,NA
2016-08-28,"4917715",8,241,NA,NA,NA,NA,NA,NA,NA,NA,13.93
2016-08-29,"4917365",8,242,0.340740741,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-29,"4917390",8,242,NA,NA,5.45,NA,NA,NA,NA,NA,NA
2016-08-29,"4917715",8,242,0.5,NA,NA,NA,NA,NA,NA,NA,10.83
2016-08-30,"4917365",8,243,0.5,2.2,6.91,77.651705866987,NA,8.76,2810,20.89,10.09
2016-08-30,"4917390",8,243,1.2,5.8,7,79.3923472482322,NA,8.74,2531,21.38,21.04
2016-08-30,"4917715",8,243,0.5,2.1,7.16,81.238784050264,NA,8.53,2747,21.36,12.31
2016-08-31,"4917365",8,244,0.1,1.8,7.81,89.046878158789,NA,8.8,2807,21.62,7.87
2016-08-31,"4917390",8,244,0.9,4.3,5.58,64.9469992477814,NA,8.65,2607,21.83,20.35
2016-08-31,"4917715",8,244,0.4,1.5,7.98,93.3241649396607,NA,8.56,2753,22.21,13.56
2016-09-01,"4917365",9,245,0.3,1.8,6.98,80.621598318156,NA,8.76,2819,22.34,11.55
2016-09-01,"4917390",9,245,1.1,4.4,5.54,63.595424957718,NA,8.62,2627,22.01,29.63
2016-09-01,"4917715",9,245,0.4,1.8,6.44,74.7850008703793,NA,8.5,2770,22.27,16.29
2016-09-02,"4917365",9,246,1,2.5,6.31,71.4697588127553,NA,8.7,2825,21.09,54.62
2016-09-02,"4917390",9,246,1.3,4.7,4.98,56.2722012925072,NA,8.55,2659,21.07,49.9
2016-09-02,"4917715",9,246,0.5,2,6.25,71.3296359398438,NA,8.47,2778,21.11,28.57
2016-09-03,"4917365",9,247,1.1,3.3,6.13,69.4706423274007,NA,8.66,2826,21.35,79.16
2016-09-03,"4917390",9,247,1.6,5.4,5.07,57.4802582530728,NA,8.5,2684,21.36,55.54
2016-09-03,"4917715",9,247,0.6,2,6.44,72.3700413579445,NA,8.49,2787,20.87,48.48
2016-09-04,"4917365",9,248,1.1,3.3,6.16,68.6231887424052,NA,8.62,2822,18.95,61.45
2016-09-04,"4917390",9,248,2,5.8,4.76,53.5858288847047,NA,8.45,2612,19.43,71.96
2016-09-04,"4917715",9,248,0.7,2.5,6.78,75.5000455648231,NA,8.52,2706,19.32,47.81
2016-09-05,"4917365",9,249,1.7,3.8,6.53,68.8655311145581,NA,8.62,2829,17.49,87.43
2016-09-05,"4917390",9,249,2.4,6.2,5.55,58.8972459657666,NA,8.41,2517,18.05,83.92
2016-09-05,"4917715",9,249,1.9,4.5,6.98,73.8552647531069,NA,8.59,2709,17.83,57.57
2016-09-06,"4917365",9,250,1.5,3.5,6.42,67.8109288003995,NA,8.55,2849,17.32,35.01
2016-09-06,"4917390",9,250,1.4,4.7,5.46,57.4699541537179,NA,8.42,2574,17.53,41.03
2016-09-06,"4917715",9,250,2,5.1,6.86,71.7869830500021,NA,8.6,2772,17.35,29.28
2016-09-07,"4917365",9,251,0.9,3.4,7,74.0071836166067,NA,8.61,2859,17.88,19.35
2016-09-07,"4917390",9,251,1.5,5.4,6.18,65.4194620574615,NA,8.51,2669,17.75,28.05
2016-09-07,"4917715",9,251,1.8,4.7,7.45,78.6663232398787,NA,8.63,2784,17.75,30.64
2016-09-08,"4917365",9,252,0.5,3.1,7.59,80.479056597471,NA,8.68,2860,18.02,20.42
2016-09-08,"4917390",9,252,0.9,4.9,6.63,70.4606220960042,NA,8.56,2693,18.13,19.24
2016-09-08,"4917715",9,252,1.1,3.8,7.89,84.3036373216143,NA,8.71,2804,18.36,21.98
2016-09-09,"4917365",9,253,0.6,2.9,7.95,84.681765671822,NA,8.75,2872,18.16,23.7
2016-09-09,"4917390",9,253,1,4.8,7.25,77.6412298888858,NA,8.66,2682,18.54,19.38
2016-09-09,"4917715",9,253,1.1,3.7,8.3,89.2887370626846,NA,8.7,2830,18.73,22.62
2016-09-10,"4917365",9,254,1,3.2,7.08,74.1982448329205,NA,8.71,2866,16.95,27.36
2016-09-10,"4917390",9,254,0.8,4.8,6.4,67.0014428507853,NA,8.63,2715,17.24,26.07
2016-09-10,"4917715",9,254,0.7,2.7,8.17,85.927137953484,NA,8.71,2857,17.66,21.78
2016-09-11,"4917365",9,255,0.8,3.2,7.31,76.9626501006434,NA,8.72,2885,17.58,29.44
2016-09-11,"4917390",9,255,0.9,5.4,6.84,72.4361479591772,NA,8.69,2616,17.9,24.47
2016-09-11,"4917715",9,255,0.7,2.7,7.58,80.7406017348945,NA,8.68,2854,18.21,22.93
2016-09-12,"4917365",9,256,1,3.4,7.17,76.3575579063548,NA,8.74,2893,18.1,59.88
2016-09-12,"4917390",9,256,1.1,5.3,6.2,66.1094774913758,NA,8.68,2666,18.28,41.19
2016-09-12,"4917715",9,256,1.3,5.3,7.06,75.9024709919393,NA,8.72,2874,18.69,51.24
2016-09-13,"4917365",9,257,1.2,4.5,6.92,73.05468501161,NA,8.72,2887,17.37,68.24
2016-09-13,"4917390",9,257,1.2,5.5,6.19,65.6344348271865,NA,8.69,2633,17.89,48.04
2016-09-13,"4917715",9,257,1.3,4.3,7.37,77.6917291536506,NA,8.69,2884,17.68,45.66
2016-09-14,"4917365",9,258,1.4,4.3,6.86,71.8020771068551,NA,8.69,2883,16.95,71.97
2016-09-14,"4917390",9,258,1.5,6.2,5.69,59.9567493256828,NA,8.67,2636,17.47,38.47
2016-09-14,"4917715",9,258,1.3,4,6.98,73.580497895859,NA,8.76,2941,17.52,48.3
2016-09-15,"4917365",9,259,1.6,4.8,7,71.2994805778967,NA,8.65,2874,16.13,47.16
2016-09-15,"4917390",9,259,1,5.2,6.23,64.8243254725805,NA,8.67,2648,16.51,29.58
2016-09-15,"4917715",9,259,1.3,4,7.27,74.7353438159043,NA,8.73,2940,16.5,33.43
2016-09-16,"4917365",9,260,1.1,4.3,7.7,78.2603154115933,NA,8.71,2876,15.78,24.23
2016-09-16,"4917390",9,260,0.7,4.6,6.35,64.3031517483537,NA,8.62,2665,15.81,27.15
2016-09-16,"4917715",9,260,1.2,3.6,7.61,77.5460856387728,NA,8.71,2904,16.05,32.61
2016-09-17,"4917365",9,261,0.9,3.6,8,81.3097830446476,NA,8.75,2887,15.96,23.93
2016-09-17,"4917390",9,261,0.5,5.2,6.75,68.469814020179,NA,8.67,2617,15.57,22.42
2016-09-17,"4917715",9,261,1.2,3.5,7.94,80.9610151227178,NA,8.72,2903,16.12,26.16
2016-09-18,"4917365",9,262,1,3.6,7.81,81.7798834622481,NA,8.76,2905,16.75,31.37
2016-09-18,"4917390",9,262,0.6,5,7.18,73.55803913887,NA,8.72,2565,16.39,24.82
2016-09-18,"4917715",9,262,0.7,2.7,7.99,82.8722375515535,NA,8.75,2914,16.93,21.22
2016-09-19,"4917365",9,263,0.4,2.9,7.58,79.2380920587294,NA,8.74,2916,17.38,15.3
2016-09-19,"4917390",9,263,0.7,4.1,7.05,73.263583402042,NA,8.73,2516,17.05,27.29
2016-09-19,"4917715",9,263,0.6,2.9,7.7,80.9331056917966,NA,8.74,2920,17.64,19.72
2016-09-20,"4917365",9,264,0.4,2.6,8.28,89.8414326439759,NA,8.82,2941,18.73,23.19
2016-09-20,"4917390",9,264,1.4,4,7.22,75.1889638041158,NA,8.77,2612,17.04,35.52
2016-09-20,"4917715",9,264,0.6,3,7.57,80.8677828555922,NA,8.74,2940,18.4,17.75
2016-09-21,"4917365",9,265,0.9,3.1,7.41,79.7471117844907,NA,8.78,2926,18.24,68.99
2016-09-21,"4917390",9,265,1,3.8,6.47,69.6858056057587,NA,8.68,2689,17.15,65.9
