UID,PTL,Total_phosphorus_mgL,Total_nitrogen_mgL,Chlorophyll_a_ugL,Secchi_m,TNTP_mol,Comment
1000015,54,0.054,4.065,1.245333333,NA,166.4634814,Secchi = 0 set to NA
1000054,19,0.019,0.429,7.76,NA,49.92934563,Secchi = 0 set to NA
1000057,14,0.014,0.15,0.422,NA,23.69274643,Secchi = 0 set to NA
1000113,85,0.085,0.035,1.858285714,NA,0.910544765,Secchi = 0 set to NA
1000130,12,0.012,0.248,1.984,NA,45.70067533,Secchi = 0 set to NA
1000160,22,0.022,0.096,1.156,NA,9.649409455,Secchi = 0 set to NA
1000186,23,0.023,0.388,1.670857143,NA,37.30405757,Secchi = 0 set to NA
1000191,60,0.06,0.508,2.864,NA,18.72253473,Secchi = 0 set to NA
1000204,11,0.011,0.85,2.38,NA,170.8749591,Secchi = 0 set to NA
1000222,31,0.031,0.58,6.12,NA,41.37314,Secchi = 0 set to NA
6216,15,0.015,0.156,3.586666667,NA,22.9977592,Secchi = 0 set to NA
6325,12,0.012,0.3,2.605714286,NA,55.283075,Secchi = 0 set to NA
6427,17,0.017,0.098,0.60020141,NA,12.74762671,Secchi = 0 set to NA
6440,71,0.071,1.105,6.376,NA,34.41566077,Secchi = 0 set to NA
6552,29,0.029,0.431,1.095384615,NA,32.86483493,Secchi = 0 set to NA
6618,150,0.15,0.845,0.410133333,NA,12.45711957,Secchi = 0 set to NA
6731,30,0.03,0.225,0.704,NA,16.5849225,Secchi = 0 set to NA
6775,137,0.137,1.103,5.141333333,NA,17.80357131,Secchi = 0 set to NA
6780,16,0.016,6.219,3.056,NA,859.5136086,Secchi = 0 set to NA
6799,355,0.355,3.195,1.572,NA,19.901907,Secchi = 0 set to NA
6826,41,0.041,0.641,1.46,NA,34.57214739,Secchi = 0 set to NA
6833,10,0.01,0.27,11.19,NA,59.705721,Secchi = 0 set to NA
6852,840,0.84,2.508,11.64,NA,6.602378671,Secchi = 0 set to NA
