Year,MonthLab,Elevation (ft),Rel_comp
1932,JAN,4482.805,-6.24
1932,FEB,4483.505,-5.54
1932,MAR,4484.005,-5.04
1932,APR,4484.205,-4.84
1932,MAY,4483.905,-5.14
1932,JUN,4483.005,-6.04
1932,JUL,4482.005,-7.04
1932,AUG,4481.505,-7.54
1932,SEP,4481.205,-7.84
1932,OCT,4481.405,-7.64
1932,NOV,4481.805,-7.24
1932,DEC,4482.705,-6.34
1933,JAN,4482.805,-6.24
1933,FEB,4483.505,-5.54
1933,MAR,4484.005,-5.04
1933,APR,4483.905,-5.14
1933,MAY,4483.505,-5.54
1933,JUN,4482.505,-6.54
1933,JUL,4481.405,-7.64
1933,AUG,4480.805,-8.24
1933,SEP,4480.405,-8.64
1933,OCT,4480.405,-8.64
1933,NOV,4480.805,-8.24
1933,DEC,4482.205,-6.84
1934,JAN,4481.905,-7.14
1934,FEB,4482.305,-6.74
1934,MAR,4482.105,-6.94
1934,APR,4481.305,-7.74
1934,MAY,4480.505,-8.54
1934,JUN,4479.905,-9.14
1934,JUL,4479.305,-9.74
1934,AUG,4478.405,-10.64
1934,SEP,4477.605,-11.44
1934,OCT,4477.805,-11.24
1934,NOV,4478.405,-10.64
1934,DEC,4480.205,-8.84
1935,JAN,4479.805,-9.24
1935,FEB,4480.105,-8.94
1935,MAR,4480.305,-8.74
1935,APR,4480.305,-8.74
1935,MAY,4480.205,-8.84
1935,JUN,4479.305,-9.74
1935,JUL,4478.205,-10.84
1935,AUG,4477.405,-11.64
1935,SEP,4477.205,-11.84
1935,OCT,4477.505,-11.54
1935,NOV,4478.105,-10.94
1935,DEC,4479.105,-9.94
1936,JAN,4479.705,-9.34
1936,FEB,4480.405,-8.64
1936,MAR,4481.105,-7.94
1936,APR,4481.705,-7.34
1936,MAY,4481.705,-7.34
1936,JUN,4481.005,-8.04
1936,JUL,4480.305,-8.74
1936,AUG,4479.705,-9.34
1936,SEP,4479.305,-9.74
1936,OCT,4479.805,-9.24
1936,NOV,4480.505,-8.54
1936,DEC,4480.405,-8.64
1937,JAN,4481.905,-7.14
1937,FEB,4482.705,-6.34
1937,MAR,4483.405,-5.64
1937,APR,4483.805,-5.24
1937,MAY,4483.705,-5.34
1937,JUN,4483.105,-5.94
1937,JUL,4482.205,-6.84
1937,AUG,4481.305,-7.74
1937,SEP,4481.105,-7.94
1937,OCT,4481.505,-7.54
1937,NOV,4482.105,-6.94
1937,DEC,4482.405,-6.64
1938,JAN,4483.205,-5.84
1938,FEB,4483.905,-5.14
1938,MAR,4484.505,-4.54
1938,APR,4485.055,-3.99
1938,MAY,4484.905,-4.14
1938,JUN,4484.105,-4.94
1938,JUL,4483.105,-5.94
1938,AUG,4482.205,-6.84
1938,SEP,4481.805,-7.24
1938,OCT,4482.205,-6.84
1938,NOV,4482.905,-6.14
1938,DEC,4483.405,-5.64
1939,JAN,4484.105,-4.94
1939,FEB,4484.705,-4.34
1939,MAR,4485.305,-3.74
1939,APR,4484.805,-4.24
1939,MAY,4484.105,-4.94
1939,JUN,4483.105,-5.94
1939,JUL,4482.105,-6.94
1939,AUG,4481.405,-7.64
1939,SEP,4481.305,-7.74
1939,OCT,4481.405,-7.64
1939,NOV,4481.705,-7.34
1939,DEC,4483.205,-5.84
1940,JAN,4483.105,-5.94
1940,FEB,4483.705,-5.34
1940,MAR,4484.105,-4.94
1940,APR,4483.805,-5.24
1940,MAY,4482.805,-6.24
1940,JUN,4481.705,-7.34
1940,JUL,4480.505,-8.54
1940,AUG,4479.805,-9.24
1940,SEP,4479.505,-9.54
1940,OCT,4479.805,-9.24
1940,NOV,4480.305,-8.74
1940,DEC,4481.905,-7.14
1941,JAN,4481.605,-7.44
1941,FEB,4482.405,-6.64
1941,MAR,4483.005,-6.04
1941,APR,4483.105,-5.94
1941,MAY,4482.805,-6.24
1941,JUN,4482.205,-6.84
1941,JUL,4481.405,-7.64
1941,AUG,4480.705,-8.34
1941,SEP,4480.605,-8.44
1941,OCT,4481.205,-7.84
1941,NOV,4481.905,-7.14
1941,DEC,4481.805,-7.24
1942,JAN,4483.305,-5.74
1942,FEB,4484.005,-5.04
1942,MAR,4484.605,-4.44
1942,APR,4485.055,-3.99
1942,MAY,4484.705,-4.34
1942,JUN,4483.905,-5.14
1942,JUL,4482.905,-6.14
1942,AUG,4482.005,-7.04
1942,SEP,4481.505,-7.54
1942,OCT,4481.805,-7.24
1942,NOV,4482.305,-6.74
1942,DEC,4483.205,-5.84
1943,JAN,4483.405,-5.64
1943,FEB,4484.105,-4.94
1943,MAR,4484.705,-4.34
1943,APR,4484.505,-4.54
1943,MAY,4484.405,-4.64
1943,JUN,4483.605,-5.44
1943,JUL,4482.705,-6.34
1943,AUG,4481.805,-7.24
1943,SEP,4481.405,-7.64
1943,OCT,4481.705,-7.34
1943,NOV,4482.205,-6.84
1943,DEC,4483.105,-5.94
1944,JAN,4483.505,-5.54
1944,FEB,4484.305,-4.74
1944,MAR,4485.005,-4.04
1944,APR,4485.855,-3.19
1944,MAY,4486.255,-2.79
1944,JUN,4485.655,-3.39
1944,JUL,4484.505,-4.54
1944,AUG,4483.505,-5.54
1944,SEP,4483.205,-5.84
1944,OCT,4483.505,-5.54
1944,NOV,4484.005,-5.04
1944,DEC,4484.405,-4.64
1945,JAN,4485.205,-3.84
1945,FEB,4485.905,-3.14
1945,MAR,4486.455,-2.59
1945,APR,4487.005,-2.04
1945,MAY,4487.055,-1.99
1945,JUN,4486.455,-2.59
1945,JUL,4485.755,-3.29
1945,AUG,4485.105,-3.94
1945,SEP,4484.905,-4.14
1945,OCT,4485.205,-3.84
1945,NOV,4485.805,-3.24
1945,DEC,4485.805,-3.24
1946,JAN,4486.855,-2.19
1946,FEB,4487.255,-1.79
1946,MAR,4487.855,-1.19
1946,APR,4487.805,-1.24
1946,MAY,4487.205,-1.84
1946,JUN,4486.155,-2.89
1946,JUL,4485.255,-3.79
1946,AUG,4484.505,-4.54
1946,SEP,4484.205,-4.84
1946,OCT,4485.055,-3.99
1946,NOV,4485.905,-3.14
1946,DEC,4486.205,-2.84
1947,JAN,4487.355,-1.69
1947,FEB,4488.005,-1.04
1947,MAR,4488.555,-0.49
1947,APR,4488.705,-0.34
1947,MAY,4488.305,-0.74
1947,JUN,4487.655,-1.39
1947,JUL,4486.905,-2.14
1947,AUG,4486.155,-2.89
1947,SEP,4485.905,-3.14
1947,OCT,4486.355,-2.69
1947,NOV,4486.955,-2.09
1947,DEC,4487.305,-1.74
1948,JAN,4488.005,-1.04
1948,FEB,4488.405,-0.64
1948,MAR,4488.705,-0.34
1948,APR,4488.555,-0.49
1948,MAY,4488.005,-1.04
1948,JUN,4487.155,-1.89
1948,JUL,4486.155,-2.89
1948,AUG,4485.255,-3.79
1948,SEP,4484.805,-4.24
1948,OCT,4485.105,-3.94
1948,NOV,4485.655,-3.39
1948,DEC,4486.955,-2.09
1949,JAN,4487.005,-2.04
1949,FEB,4487.655,-1.39
1949,MAR,4488.055,-0.99
1949,APR,4488.105,-0.94
1949,MAY,4488.205,-0.84
1949,JUN,4487.455,-1.59
1949,JUL,4486.455,-2.59
1949,AUG,4485.655,-3.39
1949,SEP,4485.455,-3.59
1949,OCT,4485.855,-3.19
1949,NOV,4486.305,-2.74
1949,DEC,4486.905,-2.14
1950,JAN,4487.705,-1.34
1950,FEB,4488.105,-0.94
1950,MAR,4488.455,-0.59
1950,APR,4488.605,-0.44
1950,MAY,4488.355,-0.69
1950,JUN,4487.655,-1.39
1950,JUL,4486.755,-2.29
1950,AUG,4485.955,-3.09
1950,SEP,4485.605,-3.44
1950,OCT,4485.805,-3.24
1950,NOV,4486.405,-2.64
1950,DEC,4487.205,-1.84
1951,JAN,4487.655,-1.39
1951,FEB,4488.105,-0.94
1951,MAR,4488.405,-0.64
1951,APR,4488.655,-0.39
1951,MAY,4488.355,-0.69
1951,JUN,4487.605,-1.44
1951,JUL,4486.955,-2.09
1951,AUG,4486.155,-2.89
1951,SEP,4485.955,-3.09
1951,OCT,4486.405,-2.64
1951,NOV,4486.955,-2.09
1951,DEC,4487.355,-1.69
1952,JAN,4488.455,-0.59
1952,FEB,4489.055,0.01
1952,MAR,4489.955,0.91
1952,APR,4491.345,2.30
1952,MAY,4492.345,3.30
1952,JUN,4491.345,2.30
1952,JUL,4490.345,1.30
1952,AUG,4489.955,0.91
1952,SEP,4489.905,0.86
1952,OCT,4489.855,0.81
1952,NOV,4489.955,0.91
1952,DEC,4489.955,0.91
1953,JAN,4490.345,1.30
1953,FEB,4490.345,1.30
1953,MAR,4490.345,1.30
1953,APR,4489.955,0.91
1953,MAY,4489.755,0.71
1953,JUN,4488.905,-0.14
1953,JUL,4488.155,-0.89
1953,AUG,4487.305,-1.74
1953,SEP,4486.855,-2.19
1953,OCT,4487.055,-1.99
1953,NOV,4487.505,-1.54
1953,DEC,4489.005,-0.04
1954,JAN,4488.555,-0.49
1954,FEB,4488.705,-0.34
1954,MAR,4488.805,-0.24
1954,APR,4488.355,-0.69
1954,MAY,4487.655,-1.39
1954,JUN,4486.755,-2.29
1954,JUL,4485.805,-3.24
1954,AUG,4484.905,-4.14
1954,SEP,4484.505,-4.54
1954,OCT,4484.705,-4.34
1954,NOV,4485.155,-3.89
1954,DEC,4486.855,-2.19
1955,JAN,4486.305,-2.74
1955,FEB,4486.855,-2.19
1955,MAR,4487.255,-1.79
1955,APR,4487.155,-1.89
1955,MAY,4486.705,-2.34
1955,JUN,4485.805,-3.24
1955,JUL,4484.805,-4.24
1955,AUG,4483.905,-5.14
1955,SEP,4483.605,-5.44
1955,OCT,4483.805,-5.24
1955,NOV,4484.405,-4.64
1955,DEC,4485.555,-3.49
1956,JAN,4485.755,-3.29
1956,FEB,4486.305,-2.74
1956,MAR,4486.605,-2.44
1956,APR,4486.355,-2.69
1956,MAY,4485.955,-3.09
1956,JUN,4484.905,-4.14
1956,JUL,4483.905,-5.14
1956,AUG,4482.905,-6.14
1956,SEP,4482.505,-6.54
1956,OCT,4482.705,-6.34
1956,NOV,4483.405,-5.64
1956,DEC,4484.705,-4.34
1957,JAN,4484.505,-4.54
1957,FEB,4485.155,-3.89
1957,MAR,4485.655,-3.39
1957,APR,4486.155,-2.89
1957,MAY,4486.705,-2.34
1957,JUN,4486.355,-2.69
1957,JUL,4485.405,-3.64
1957,AUG,4484.605,-4.44
1957,SEP,4484.305,-4.74
1957,OCT,4484.705,-4.34
1957,NOV,4485.355,-3.69
1957,DEC,4485.255,-3.79
1958,JAN,4486.605,-2.44
1958,FEB,4487.155,-1.89
1958,MAR,4487.855,-1.19
1958,APR,4488.105,-0.94
1958,MAY,4487.755,-1.29
1958,JUN,4486.755,-2.29
1958,JUL,4485.755,-3.29
1958,AUG,4484.905,-4.14
1958,SEP,4484.505,-4.54
1958,OCT,4484.705,-4.34
1958,NOV,4485.255,-3.79
1958,DEC,4486.305,-2.74
1959,JAN,4486.455,-2.59
