Lab_Name,LabID,Project,Agency,SiteName,MLID,Date,SampleType,SampleDepth,SampleZone,CollectionProcedure,Taxon,AlgalDivision,NumberinStand,RankinStand,RelativeDensity,NaturalUnitsperML,CellperML,CellVolume(µ³/mL),Comments,Notes,stratum,shannon-wiener index,species evenness,species richness,total number of taxa in stand,taxon_grouped,Taxon,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,Ankistrodesmus arcuatus Korshikov (= Monoraphidium arcuatum (Korshikov) Hindák),Chlorophyta,,,0.1,,44.8,2912,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,centric diatoms species,Bacillariophyta,,,0.8,,44.8,43456,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,centric diatoms species 2,Bacillariophyta,,,47.4,,9878.4,2469600,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,Chlamydomonas species,Chlorophyta,,,1.1,,89.6,58688,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,Chlamydomonas species 3,Chlorophyta,,,1.9,,358.4,100352,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,Crucigenia fenestrata (Schmidle) Schmidle,Chlorophyta,,,6.2,,1433.6,322560,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,"Crucigeniella crucifera (Wolle) Komárek (= Crucigenia cruciata Schmidle, Crucigenia crucifera (Wolle) Collins)",Chlorophyta,,,1,,179.2,51968,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,"Desmodesmus bicellularis (Chodat) An, Friedl & Hegewald",Chlorophyta,,,0.2,,89.6,10483.2,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,Desmodesmus communis (Hegewald) Hegewald,Chlorophyta,,,0.7,,179.2,35840,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,Kirchneriella lunaris (Kirchner) Möbius (= Kirchneriella lunata Schmidle),Chlorophyta,,,0.3,,89.6,16128,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,Komma species 2,Cryptophyta,,,1,,89.6,53043.2,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,Microspora species,Chlorophyta,,,9,,537.6,470400,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,Monoraphidium contortum (Thuret) Komárková-Legnerová,Chlorophyta,,,0.1,,44.8,2912,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,Oocystis species,Chlorophyta,,,5.1,,896,264320,,,,,,,,,,
