Monitoring.Location.ID,Monitoring.Location.Name,Provo,Monitoring.Location.Latitude,Monitoring.Location.Longitude
4817450,UTAH LAKE AT MIDDLE OF PROVO BAY,0,,
4917300,UTAH LAKE 300 FT OFFSHORE FROM GENEVA STEEL,0,40.32078534,-111.7677084
4917305,Utah Lake at American Fork Marina near boat ramp,0,40.34238,-111.800839
4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
4917320,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-B ,0,40.32087284,-111.7775375
4917323,Utah Lake south of Lindon Marina south dike,0,40.325868,-111.765995
4917330,UTAH LAKE 5MI N/NW OF LINCOLN BEACH/ 1 MI OFFSHORE,0,40.20967587,-111.852435
4917333,Utah Lake @ Lindon Beach,0,40.32947,-111.76529
4917335,Utah Lake at Lindon Marina Beach NE of launch ramps,0,40.327081,-111.76429
4917340,UTAH LAKE W OF PROVO BOAT HARBOR/6 MI N OF LINCOLN BEACH #08,0,40.23161835,-111.8052091
4917365,UTAH LAKE 2 MILES WEST OF VINEYARD,0,40.29569,-111.80282
4917370,UTAH LAKE 1 MI EAST OF PELICAN POINT,0,40.26828256,-111.8299304
4917380,UTAH LAKE 0.5 MI S OF AMERICAN FORK BOAT HARBOR #14,0,40.3335647,-111.801593
4917385,Utah Lake American Fork Beach,0,40.342291,-111.802863
4917388,Utah Lake One half mile West of Provo Bay,0,40.237877,-111.767671
4917390,UTAH LAKE 1 MILE WEST OF PROVO MARINA,0,40.23717289,-111.7646472
4917400,UTAH LAKE 1.5 MI NW OF PROVO BOAT HARBOR #16,0,40.26023095,-111.7668706
4917410,UTAH LAKE 1 MI NE OF PELICAN POINT #10,0,40.28800978,-111.8365951
4917414,Utah Lake Saratoga Springs Marina Boat Ramp,0,40.289869,-111.869961
4917418,Utah Lake Saratoga Springs Marina Picnic Area,0,40.291069,-111.870689
4917420,UTAH LAKE 1 MI SE OF PELICAN POINT #09,0,40.25050941,-111.8346516
4917433,Utah Lake State Park Harbor,0,40.238428,-111.738826
4917435,Utah Lake @ Day Use Area,0,40.242486,-111.737812
4917442,Utah Lake 0.5 mile west of Provo Airport control tower,0,40.21614,-111.73669
4917450,UTAH LAKE AT MIDDLE OF PROVO BAY,1,40.18913907,-111.6999312
4917470,UTAH LAKE AT  MIXING ZONE-WLA,1,40.18735,-111.674633
4917485,Utah Lake Saratoga Springs Public Marina,0,,
4917486,Utah Lake Saratoga Private Dock,0,,
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,0,40.16967582,-111.8716056
4917510,UTAH LAKE 4 MI E OF SARATOGA SPRINGS #11,0,40.34856104,-111.840216
4917512,Utah Lake American Fork Marina,0,40.329093,-111.890944
4917520,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,0,40.34216863,-111.8713257
4917530,UTAH LAKE 0.7 MI EAST OF PELICAN POINT,0,40.26828459,-111.8371518
4917600,UTAH LAKE GOSHEN BAY SOUTHWEST END,0,40.06023518,-111.8743836
4917620,UTAH LAKE GOSHEN BAY MIDWAY OFF MAIN POINT ON EAST SHORE,0,40.08522795,-111.8838288
4917635,UTAH LAKE 2 MILES WEST OF VINEYARD,0,,
4917700,UTAH LAKE 2.5 MI NE OF LINCOLN POINT #02,0,40.16773467,-111.7596514
4917702,Utah Lake Sandy Beach,0,40.171116,-111.745876
4917706,Utah Lake North of Lincoln Marina,0,40.144456,-111.801537
4917708,Utah Lake Lincoln Beach Harbor ,0,40.142595,-111.802026
4917709,Utah Lake S of Lincoln Marina,0,40.141768,-111.799099
4917710,UTAH LAKE 1 MI NE OF LINCOLN POINT #03,0,40.1577293,-111.7913255
4917715,UTAH LAKE 1 MILE SOUTHEAST OF BIRD ISLAND,0,40.169162,-111.777287
4917770,UTAH LAKE  OUTSIDE ENTRANCE TO PROVO BAY,0,40.18856667,-111.7313142
4994720,Utah Lake Jordan River at Narrows,0,40.44266124,-111.9227943
4994790,JORDAN R AT UTAH L OUTLET U121 XING,0,40.36095174,-111.8985136
4995075,Utah Lake Near TSSD Outlet,0,40.330029,-111.765792
4997390,UTAH LAKE 1 MILE WEST OF PROVO MARINA,0,,
7458,Utah Lake,0,40.2099828,-111.8241512
