UID,PTL,Total_phosphorus_mgL,Total_nitrogen_mgL,Chlorophyll_a_ugL,Secchi_m,TNTP_mol,Comment,TSIchl,TSItp,TSIsd
1000001,22,0.022,0.396,3.944,,39.803814,,44.0612372344232,48.0428028376881,
1000010,66,0.066,1.226,55.84,0.55,41.07699997,,70.0606313974349,63.6430973367752,68.6148311808885
1000011,45,0.045,0.99,23.04,0.8,48.649106,,61.3762443094697,58.2046073547385,63.2154985744378
1000013,18,0.018,0.261,0.952,,32.0641835,,30.1174437044885,45.1932789621255,
1000014,30,0.03,0.445,7.064,5.6,32.80129117,,49.7786624549893,52.4470028196026,35.1749333265507
1000015,54,0.054,4.065,1.245333333,,166.4634814,Secchi = 0 set to NA,32.7523457003364,60.7935734612127,
1000016,20,0.02,0.16,1.424,2.1,17.690584,,34.0675388654298,46.6893982844667,49.3086828624497
1000017,197,0.197,0.625,20.22857143,1.5,7.015618655,,60.099612076617,79.1714929480794,54.1572477921614
1000018,88,0.088,0.806,26.6,0.475,20.25370839,,62.7857390268769,67.7281827655905,70.7273872439934
1000019,383,0.383,0.895,3.024,0.395,5.167451919,,41.4555542960926,88.6120968463652,73.3850096979074
1000020,14,0.014,0.25,3.76,5.15,39.48791071,,43.5925499721117,41.6246140805367,36.382057341524
1000021,332,0.332,0.839,6.492957746,0.3,5.588253003,,48.9517452072983,86.5829165586141,77.3492481103367
1000022,114,0.114,2.894,30.24,0.385,56.13656809,,64.0439140583642,71.4040179672018,73.7545171230456
1000023,92,0.092,1.06,46.9,1.3,25.47828674,,68.3490533961864,68.3593977940964,56.2193309490235
1000025,705,0.705,7.844,764.64,0.25,24.60371292,,95.7325643726808,97.2764087999342,79.9765017437376
1000026,26,0.026,0.61,14.85714286,0.775,51.88103962,,57.0720961602308,50.4149708399051,63.6729973171509
1000028,10,0.01,0.8,1.27,7.35,176.90584,,32.9447557936156,36.8467083205154,31.2563684864314
1000029,41,0.041,0.23,18.88,0.69,12.40498268,,59.4227920066373,56.8827233472012,65.3470276488419
1000030,84,0.084,0.465,12.24,1.7,12.24125232,,55.1711980081958,67.0675985435751,52.3536469021941
1000032,20,0.02,0.315,5.28,1.8,34.82833725,,46.9231150186153,46.6893982844667,51.5299941587605
1000034,24,0.024,0.5,5.15,4.5,46.06922917,,46.6785577709681,49.2783643909408,38.3262447124539
1000039,12,0.012,1.67,2.48,4.8,307.7424508,,39.5100164753353,39.4356744269896,37.3962446228615
1000043,10,0.01,0.398,3.423,2.925,88.0106554,,42.6713752971664,36.8467083205154,44.5338265333462
1000044,18,0.018,0.72,4.53,2.8,88.45292,,45.4201822264454,45.1932789621255,45.1631841984195
1000046,31,0.031,1.559,8.32,2.025,111.208147,,51.3840767199129,52.9126183036891,49.832740614952
1000047,38,0.038,0.616,3,2.5,35.84670968,,41.3773865518342,55.8037234681147,46.7962505536934
1000048,590,0.59,3.925,144.8,0.29,14.71091996,,79.4082176383254,94.7477400239767,77.8377694699833
1000049,62,0.062,0.016,0.997894737,16.4,0.570664,,30.5793255998011,62.7553082676403,19.6911759650975
1000050,21,0.021,0.74,6.22,2.1,77.92281048,,48.5304227852282,47.3822186156726,49.3086828624497
1000052,44,0.044,0.569,19.34883721,1.325,28.59642698,,59.663423109856,57.8854928016393,55.9448464594958
1000053,35,0.035,0.805,11.2,1.35,50.860429,,54.3001141651333,54.6359424731497,55.6754928227906
1000054,19,0.019,0.429,7.76,,49.92934563,Secchi = 0 set to NA,50.7005166984542,45.9610335041635,
1000055,17,0.017,0.721,6.224,2.25,93.78611076,,48.5367294392545,44.3816294855983,48.3144955843227
1000056,44,0.044,0.546,12,2.45,27.44050814,,54.9769342344203,57.8854928016393,47.0873715661389
1000057,14,0.014,0.15,0.422,,23.69274643,Secchi = 0 set to NA,22.1364228438785,41.6246140805367,
1000058,26,0.026,0.72,12.64,2.425,61.23663692,,55.4866592733306,50.4149708399051,47.2351677335481
1000059,17,0.017,0.52,3.2,3.7,67.64046824,,42.0105094441937,44.3816294855983,41.1469240688409
1000060,25,0.025,0.596,12.08,0.93,52.71794032,,55.0421171984904,49.8580367131284,61.04574368375
1000062,64,0.064,0.595,5.64,0.19,20.55839352,,47.5701626826528,63.2061397837073,83.9311366903
1000063,132,0.132,3.84,85.3,0.55,64.32939636,,74.2169713986218,73.4857873007265,68.6148311808885
1000066,14,0.014,0.558,4.48,2.875,88.13701671,,45.3113020854478,41.6246140805367,44.7822809640674
1000067,85,0.085,1.048,26.72,1.05,27.26431181,,62.8298951404375,67.2356478421625,59.2969337343185
1000068,77,0.077,0.303,5.546666667,2.275,8.701699597,,47.4064640099613,65.8320369903223,48.155267444874
1000069,35,0.035,0.196,3.562666667,2.05,12.3834088,,43.0636965098357,54.6359424731497,49.6559285807039
1000070,18,0.018,0.619,5.176,2.075,76.04494094,,46.7279593861183,45.1932789621255,49.4812597754329
1000071,9,0.009,0.296,3.168,5.3,72.72795644,,41.9119156494709,35.3505889981743,35.9683447157581
1000072,49,0.049,0.781,22.48,1.65,35.24578088,,61.1348613055001,59.4138482331709,52.783828101181
1000073,49,0.049,0.97,14.5,0.75,43.77516959,,56.8333982508743,59.4138482331709,64.1454986640302
1000075,30,0.03,1.236,23.3,1.625,91.1065076,,61.4863274672079,52.4470028196026,53.0038323745857
1000076,10,0.01,0.395,3.032,3.675,87.3472585,,41.481472408923,36.8467083205154,41.2446193583002
1000079,23,0.023,3.663,13.41538462,0.825,352.1772239,,56.0707051342459,48.6740178661939,62.7720789730499
1000080,38,0.038,0.79,17.04,1.025,45.97224132,,58.4168781449455,55.8037234681147,59.6441794525728
1000081,15,0.015,0.588,3.5,1.75,86.6838616,,42.8896047209396,42.6043128556514,51.9359364958506
1000082,24,0.024,0.019,20.3,1.65,1.750630708,,60.1341908921284,49.2783643909408,52.783828101181
1000083,35,0.035,0.89,21.3,1.05,56.23078486,,60.6059163833379,54.6359424731497,59.2969337343185
1000084,59,0.059,0.723,12.01333333,0.625,27.09807676,,54.9878281806246,62.0510317034612,66.7727522974311
1000085,310,0.31,1.058,32.26666667,0.24,7.5470314,,64.6802804630909,85.6093266242045,80.5647466847745
1000086,241,0.241,0.33,5.82,0.325,3.027952656,,47.8783555677022,82.0341164555673,76.1958326927611
1000087,53,0.053,0.968,36.64,0.9,40.38793706,,65.9271886954962,60.5281451724401,61.5182450306293
1000088,237,0.237,2.304,157.86,0.33,21.49741853,,80.2553610155893,81.7964540041189,75.9758284193564
1000091,18,0.018,0.489,3.144,3.415,60.07427483,,41.8373145295019,45.1932789621255,42.3019623255421
1000092,46,0.046,0.588,33.44,1.525,28.26647661,,65.0306748524039,58.5167078301452,53.9190605510444
1000093,96,0.096,1.999,2.66,1.23,46.04619455,,40.1973792646053,68.9637443188433,57.0169258191719
1000094,10,0.01,0.551,1.501714286,5.075,121.8438973,,34.5888177393253,36.8467083205154,36.5934547757897
1000096,21,0.021,0.488,2.373333333,3.125,51.38693448,,39.0787382331964,47.3822186156726,43.5807519792557
1000097,10,0.01,0.136,1.851428571,6.15,30.0739928,,36.6425434834623,36.8467083205154,33.8249255009965
1000098,22,0.022,0.501,6.186666667,2.95,50.35785559,,48.4777090640769,48.0428028376881,44.4111874952316
1000099,30,0.03,0.61,15.392,1.225,44.96356767,,57.4190478393881,52.4470028196026,57.0756224380077
1000100,70,0.07,1.35,11.8,1.8,42.64694357,,54.8120564037366,64.4786324371009,51.5299941587605
1000101,17,0.017,0.565,16.48,1.825,73.49397029,,58.0890672151618,44.3816294855983,51.3312323868335
1000103,5,0.005,0.246,2.341333333,4.575,108.7970916,,38.9455687673941,27.0040183565642,38.088057471337
1000105,15,0.015,1.246,7.26,2.125,183.6872305,,50.0471461208881,42.6043128556514,49.1381483277564
1000106,8,0.008,0.389,2.974117647,4.85,107.5255809,,41.2923840505312,33.6780698918537,37.2469168616793
1000107,74,0.074,1.074,42.88,1,32.09406624,,67.4699581194406,65.2677243234992,60
1000108,14,0.014,0.91,6.3,2.75,143.735995,,48.6557919036294,41.6246140805367,45.4228308627131
1000109,56,0.056,0.97,72.4,1.05,38.30327339,,72.6084437970323,61.3099940084391,59.2969337343185
1000110,14,0.014,0.276,0.731,5.15,43.59465343,,27.5261167533306,41.6246140805367,36.382057341524
1000111,41,0.041,0.773,21.12,0.975,41.69152876,,60.5226627012014,56.8827233472012,60.3648296130536
1000112,8,0.008,0.379,1.530666667,6.05,104.7614271,,34.7761500652615,33.6780698918537,34.061160299864
1000113,85,0.085,0.035,1.858285714,,0.910544765,Secchi = 0 set to NA,36.6788096992806,67.2356478421625,
1000115,20,0.02,0.29,18,1.1,32.0641835,,58.9545469449614,46.6893982844667,58.6265803090197
1000116,77,0.077,0.8,5.22,3.05,22.97478442,,46.8109995125855,65.8320369903223,43.9308096791756
1000117,19,0.019,0.708,5.4625,3.075,82.40087811,,47.256463357737,45.9610335041635,43.8131763728653
1000118,21,0.021,0.54,8.11,2.4,56.86259143,,51.133290086329,47.3822186156726,47.3844954947303
1000119,232,0.232,3.87,82.5,0.15,36.88715522,,73.8895512576716,81.4936706776616,87.3374989822056
1000120,47,0.047,1.168,25.65333333,0.525,54.95372902,,62.4302472072578,58.8220959442828,69.2851846061873
1000121,13,0.013,0.27,3.02,4.75,45.92747769,,41.4425695159043,40.5722808759538,37.5471360539492
1000122,68,0.068,0.72,5.76,1.575,23.41400824,,47.7766966268835,64.0670094135007,53.4541815264798
1000123,36,0.036,0.514,3.568,1.125,31.57277839,,43.0783711563813,55.0359689260768,58.3027464561915
1000126,275,0.275,1.76,86.56,0.225,14.1524672,,74.3608189661131,83.9081495868653,81.4947467743669
1000127,25,0.025,0.87,14.5,1.9,76.9540404,,56.8333982508743,49.8580367131284,50.7508855002558
1000130,12,0.012,0.248,1.984,,45.70067533,Secchi = 0 set to NA,37.3209782369429,39.4356744269896,
1000132,19,0.019,0.359,2.313333333,3.925,41.78236616,,38.8275438547809,45.9610335041635,40.2962508787127
1000134,95,0.095,1.159,2.176,4.425,26.9781406,,38.2271605074282,68.8150518607277,38.5684352873929
1000135,27,0.027,0.82,20.4,1.2,67.15869852,,60.1823973773402,50.9508834972615,57.3727463665991
1000136,16,0.016,0.64,1.568,3.15,88.45292,,35.0125470441158,43.5207598558049,43.465930654611
1000137,134,0.134,0.29,8.72,1.05,4.78569903,,51.8447247240039,73.6993251593029,59.2969337343185
1000138,44,0.044,1.19,57.2,0.35,59.80623568,,70.2966937431642,57.8854928016393,75.127936814026
1000141,31,0.031,0.429,0.328,2,30.601857,,19.6643842114337,52.9126183036891,50.0117491281312
1000144,60,0.06,0.87,28.2,1.55,32.0641835,,63.3587486036313,62.2896927835538,53.6847464452821
1000146,34,0.034,1.13,4.113333333,2.975,73.49397029,,44.4736328886326,54.2243194495495,44.2895833980447
1000147,15,0.015,0.65,2.58,6.2,95.82399667,,39.8978140035379,42.6043128556514,33.7082447015444
1000148,21,0.021,0.218,1.045,8.8,22.95563876,,31.0318056459386,47.3822186156726,28.6618276934132
1000152,25,0.025,0.21,1.4016,5.95,18.5751132,,33.9119976681719,49.8580367131284,34.3013325261759
1000153,31,0.031,0.318,3.015384615,3.025,22.683894,,41.4275656881239,52.9126183036891,44.0494111717328
1000154,57,0.057,1.35,77.2,0.55,52.37343947,,73.2381786734715,61.5613280032506,68.6148311808885
1000156,36,0.036,0.511,3.466666667,3.075,31.38850147,,42.7957284074144,55.0359689260768,43.8131763728653
1000157,39,0.039,0.669,4.106666667,4.1,37.93269454,,44.4577204779758,56.172575375041,39.6676777088351
1000158,47,0.047,0.785,6.08,0.6,36.93379904,,48.3070960675449,58.8220959442828,67.3609972384679
1000159,37,0.037,0.109,2.04,6.725,6.514438027,,37.5940376150686,55.425034359548,32.5369619537193
1000160,22,0.022,0.096,1.156,,9.649409455,Secchi = 0 set to NA,32.0221142061543,48.0428028376881,
1000161,34,0.034,0.589,1.266666667,2.75,38.30791903,,32.9189739153917,54.2243194495495,45.4228308627131
1000162,29,0.029,0.581,2.56,3.3,44.30271252,,39.8214712058013,51.9656007858079,42.7955772293122
1000163,75,0.075,1.204,6.21,1.425,35.49910523,,48.5146383892243,65.4583312122156,54.896384164286
1000164,17,0.017,0.789,5.256,2.85,102.6314028,,46.8784224583985,44.3816294855983,44.9081332924171
1000166,35,0.035,1.476,8.32,2.105,93.25464994,,51.3840767199129,54.6359424731497,49.2744141185941
1000167,9,0.009,0.231,9.2475,4.6,56.75729033,,52.4209053307471,35.3505889981743,38.0095286666363
1000168,75,0.075,0.436,2.917333333,4.075,12.85515771,,41.1032722771621,65.4583312122156,39.7558125401564
1000169,53,0.053,0.139,1.130666667,5.85,5.799507491,,31.8047408839479,60.5281451724401,34.5455756614773
1000170,75,0.075,0.373,2.144,1.35,10.99764639,,38.0818245158759,65.4583312122156,55.6754928227906
1000172,29,0.029,0.779,5.824,3.015,59.40071093,,47.8850955198739,51.9656007858079,44.0971264471185
1000173,16,0.016,0.566,2.712,4.875,78.22555113,,40.3873032904666,43.5207598558049,37.1728292948782
1000180,17,0.017,0.53,10.7,2.9,68.94124647,,53.8520911037997,44.3816294855983,44.6575182799391
1000185,59,0.059,1.57,14.8,0.5,58.84367983,,57.0342926433544,62.0510317034612,69.9882508718688
1000186,23,0.023,0.388,1.670857143,,37.30405757,Secchi = 0 set to NA,35.635833557109,48.6740178661939,
1000188,24,0.024,0.68,7.43,1,62.65415167,,50.2742086741381,49.2783643909408,60
1000189,12,0.012,0.47,5.37,3.65,86.61015083,,47.0889217825888,39.4356744269896,41.3429815149647
1000190,48,0.048,1.078,5.155555556,0.975,49.66262904,,46.6891345922454,59.1210543548921,60.3648296130536
1000191,60,0.06,0.508,2.864,,18.72253473,Secchi = 0 set to NA,40.9222708336553,62.2896927835538,
