"MonitoringLocationIdentifier","MonitoringLocationName","LatitudeMeasure","LongitudeMeasure","Date","Turbidity","chlorophyll.pheophytincorrected","organic.carbon","total.suspended.solids","k","datetime","secchidepth.m","Month","k.estimated"
"401327111462601","UTAH LAKE HAB STUDY SITE 3",40.22411944,-111.7739389,2016-08-10,110,NA,NA,NA,NA,NA,NA,NA,NA
"401432111454301","UTAH LAKE HAB STUDY SITE 4",40.2423111,-111.761811,2016-08-10,74,NA,NA,NA,NA,NA,NA,NA,NA
"401613111463301","UTAH LAKE HAB STUDY SITE 1",40.27031944,-111.7758806,2016-08-10,100,NA,NA,NA,NA,NA,NA,NA,NA
"401658111491601","UTAH LAKE HAB STUDY SITE 2",40.2827,-111.8212,2016-08-10,59,NA,NA,NA,NA,NA,NA,NA,NA
"4917300","UTAH LAKE 300 FT OFFSHORE FROM GENEVA STEEL",40.320785338,-111.767708378,1989-07-11,61,NA,NA,NA,NA,1989-07-11 10:30:00,2.4,7,0.622967695269918
"4917300","UTAH LAKE 300 FT OFFSHORE FROM GENEVA STEEL",40.320785338,-111.767708378,1990-08-14,62,NA,NA,NA,NA,1990-08-14 11:50:00,0.13,8,4.31848458851971
"4917300","UTAH LAKE 300 FT OFFSHORE FROM GENEVA STEEL",40.320785338,-111.767708378,1994-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4917300","UTAH LAKE 300 FT OFFSHORE FROM GENEVA STEEL",40.320785338,-111.767708378,1978-08-31,52,NA,NA,NA,NA,NA,NA,NA,NA
"4917310","UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A",40.320872844,-111.777537513,2009-06-22,NA,NA,NA,62,NA,2009-06-22 13:36:00,0.2,6,3.24411612515584
"4917310","UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A",40.320872844,-111.777537513,2009-07-06,NA,NA,NA,27.6,NA,2009-07-06 12:23:00,0.6,7,1.56409733263628
"4917310","UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A",40.320872844,-111.777537513,2009-08-03,NA,NA,NA,27.6,NA,2009-08-03 12:50:00,0.3,8,2.47835149033998
"4917310","UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A",40.320872844,-111.777537513,2009-09-17,NA,NA,NA,26,NA,2009-09-17 12:25:00,0.35,9,2.23721050319932
"4917310","UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A",40.320872844,-111.777537513,2009-10-07,NA,NA,NA,48.4,NA,2009-10-07 14:50:00,0.25,10,2.79732706532589
"4917310","UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A",40.320872844,-111.777537513,2010-06-14,NA,2.2,NA,30.8,NA,2010-06-14 13:31:25,0.3,6,2.47835149033998
"4917310","UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A",40.320872844,-111.777537513,2010-07-15,NA,10,NA,29.6,NA,2010-07-15 12:31:47,0,7,Inf
"4917310","UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A",40.320872844,-111.777537513,2010-08-23,NA,19.1,NA,65.3,NA,2010-08-23 10:53:03,0.25,8,2.79732706532589
"4917310","UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A",40.320872844,-111.777537513,2011-08-22,NA,140.8,NA,33.3,NA,2011-08-22 13:09:41,0.3,8,2.47835149033998
"4917310","UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A",40.320872844,-111.777537513,2011-09-22,NA,14.5,NA,6.8,NA,2011-09-22 11:49:33,0.7,9,1.41191231116289
