MonthLab,Year,Elevation..ft.,Rel_comp,Month
JAN,1932,4482.805,-6.24,1
FEB,1932,4483.505,-5.54,2
MAR,1932,4484.005,-5.04,3
APR,1932,4484.205,-4.84,4
MAY,1932,4483.905,-5.14,5
JUN,1932,4483.005,-6.04,6
JUL,1932,4482.005,-7.04,7
AUG,1932,4481.505,-7.54,8
SEP,1932,4481.205,-7.84,9
OCT,1932,4481.405,-7.64,10
NOV,1932,4481.805,-7.24,11
DEC,1932,4482.705,-6.34,12
JAN,1933,4482.805,-6.24,1
FEB,1933,4483.505,-5.54,2
MAR,1933,4484.005,-5.04,3
APR,1933,4483.905,-5.14,4
MAY,1933,4483.505,-5.54,5
JUN,1933,4482.505,-6.54,6
JUL,1933,4481.405,-7.64,7
AUG,1933,4480.805,-8.24,8
SEP,1933,4480.405,-8.64,9
OCT,1933,4480.405,-8.64,10
NOV,1933,4480.805,-8.24,11
DEC,1933,4482.205,-6.84,12
JAN,1934,4481.905,-7.14,1
FEB,1934,4482.305,-6.74,2
MAR,1934,4482.105,-6.94,3
APR,1934,4481.305,-7.74,4
MAY,1934,4480.505,-8.54,5
JUN,1934,4479.905,-9.14,6
JUL,1934,4479.305,-9.74,7
AUG,1934,4478.405,-10.64,8
SEP,1934,4477.605,-11.44,9
OCT,1934,4477.805,-11.24,10
NOV,1934,4478.405,-10.64,11
DEC,1934,4480.205,-8.84,12
JAN,1935,4479.805,-9.24,1
FEB,1935,4480.105,-8.94,2
MAR,1935,4480.305,-8.74,3
APR,1935,4480.305,-8.74,4
MAY,1935,4480.205,-8.84,5
JUN,1935,4479.305,-9.74,6
JUL,1935,4478.205,-10.84,7
AUG,1935,4477.405,-11.64,8
SEP,1935,4477.205,-11.84,9
OCT,1935,4477.505,-11.54,10
NOV,1935,4478.105,-10.94,11
DEC,1935,4479.105,-9.94,12
JAN,1936,4479.705,-9.34,1
FEB,1936,4480.405,-8.64,2
MAR,1936,4481.105,-7.94,3
APR,1936,4481.705,-7.34,4
MAY,1936,4481.705,-7.34,5
JUN,1936,4481.005,-8.04,6
JUL,1936,4480.305,-8.74,7
AUG,1936,4479.705,-9.34,8
SEP,1936,4479.305,-9.74,9
OCT,1936,4479.805,-9.24,10
NOV,1936,4480.505,-8.54,11
DEC,1936,4480.405,-8.64,12
JAN,1937,4481.905,-7.14,1
FEB,1937,4482.705,-6.34,2
MAR,1937,4483.405,-5.64,3
APR,1937,4483.805,-5.24,4
MAY,1937,4483.705,-5.34,5
JUN,1937,4483.105,-5.94,6
JUL,1937,4482.205,-6.84,7
AUG,1937,4481.305,-7.74,8
SEP,1937,4481.105,-7.94,9
OCT,1937,4481.505,-7.54,10
NOV,1937,4482.105,-6.94,11
DEC,1937,4482.405,-6.64,12
JAN,1938,4483.205,-5.84,1
FEB,1938,4483.905,-5.14,2
MAR,1938,4484.505,-4.54,3
APR,1938,4485.055,-3.99,4
MAY,1938,4484.905,-4.14,5
JUN,1938,4484.105,-4.94,6
JUL,1938,4483.105,-5.94,7
AUG,1938,4482.205,-6.84,8
SEP,1938,4481.805,-7.24,9
OCT,1938,4482.205,-6.84,10
NOV,1938,4482.905,-6.14,11
DEC,1938,4483.405,-5.64,12
JAN,1939,4484.105,-4.94,1
FEB,1939,4484.705,-4.34,2
MAR,1939,4485.305,-3.74,3
APR,1939,4484.805,-4.24,4
MAY,1939,4484.105,-4.94,5
JUN,1939,4483.105,-5.94,6
JUL,1939,4482.105,-6.94,7
AUG,1939,4481.405,-7.64,8
SEP,1939,4481.305,-7.74,9
OCT,1939,4481.405,-7.64,10
NOV,1939,4481.705,-7.34,11
DEC,1939,4483.205,-5.84,12
JAN,1940,4483.105,-5.94,1
FEB,1940,4483.705,-5.34,2
MAR,1940,4484.105,-4.94,3
APR,1940,4483.805,-5.24,4
MAY,1940,4482.805,-6.24,5
JUN,1940,4481.705,-7.34,6
JUL,1940,4480.505,-8.54,7
AUG,1940,4479.805,-9.24,8
SEP,1940,4479.505,-9.54,9
OCT,1940,4479.805,-9.24,10
NOV,1940,4480.305,-8.74,11
DEC,1940,4481.905,-7.14,12
JAN,1941,4481.605,-7.44,1
FEB,1941,4482.405,-6.64,2
MAR,1941,4483.005,-6.04,3
APR,1941,4483.105,-5.94,4
MAY,1941,4482.805,-6.24,5
JUN,1941,4482.205,-6.84,6
JUL,1941,4481.405,-7.64,7
AUG,1941,4480.705,-8.34,8
SEP,1941,4480.605,-8.44,9
OCT,1941,4481.205,-7.84,10
NOV,1941,4481.905,-7.14,11
DEC,1941,4481.805,-7.24,12
