Monitoring.Location.ID,SiteName,Date,SampleType,Division,Genus,Taxon,CellperML,CellVolume_u3mL,Year,Month,Monitoring.Location.Name,Provo,Monitoring.Location.Latitude,Monitoring.Location.Longitude,MonitoringLocationIdentifier
,HAB,2016-07-19,HAB,Cyanophyta,Aphanizomenon,Aphanizomenon flos-aquae,19990,,2016,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Bacillariophyta,Centric diatom,centric diatoms species,20,19600,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Bacillariophyta,Centric diatom,centric diatoms species 2,188,75040,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Bacillariophyta,Melosira,Melosira granulata (= Aulacoseira granulata (Ehrenberg) Simonsen),22,5936,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Bacillariophyta,Melosira,Melosira granulata var. angustissima (= Aulacoseira granulata var. angustissima (Müller) Simonsen),353,45864,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Bacillariophyta,Nitzschia,Nitzschia acicularis (Kützing) Smith,8,21420,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Bacillariophyta,Pennate diatom,pennate diatoms,34,84000,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Chlorophyta,Actinastrum,Actinastrum gracillimum Smith,22,3158,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Chlorophyta,Acutodesmus,Acutodesmus acuminatus (Lagerheim) Tsarenko,11,2475,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Chlorophyta,Desmodesmus,"Desmodesmus bicellularis (R. Chodat) An, Friedl & Hegewald",11,185,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Chlorophyta,Desmodesmus,Desmodesmus communis (Hegewald) Hegewald,45,21280,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Chlorophyta,Desmodesmus,Desmodesmus protuberans (Fritsch & Rich) Hegewald,11,4704,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Chlorophyta,Monoraphidium,Monoraphidium arcuatum (= Ankistrodesmus arcuatus Korshikov},11,672,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Chlorophyta,Monoraphidium,Monoraphidium dybowskii (Woloszynska) Hindák & Komárkova Legnerová,8,706,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Chlorophyta,Oocystis,Oocystis borgei Snow,22,10080,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Chlorophyta,Other,Unknown colonial chlorophyte,11,3315,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Cyanophyta,Aphanizomenon,Aphanizomenon flosaquae Ralfs ex Bornet & Flahault,171,335280,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Cyanophyta,Aphanocapsa,Aphanocapsa species,266,38304,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Cyanophyta,Other,Unknown filamentous cyanophyte,17,25200,2017,7,,,,,
,Utah Lake NAD 83,2017-07-18,Total phytoplankton,Euglenophyta,Euglena,Euglena species,3,18480,2017,7,,,,,
4817450,UTAH LAKE AT MIDDLE OF PROVO BAY,2017-06-30,Total phytoplankton,Cyanophyta,Aphanocapsa,Aphanocapsa species,2128,306432,2017,6,UTAH LAKE AT MIDDLE OF PROVO BAY,0,,,UTAHDWQ_WQX-4817450
