MonitoringLocationIdentifier,Date,Chlorophyll a,"Depth, Secchi disk depth",Phosphate-phosphorus,TSIchl,TSItp,TSIsd,Year,Month,Monitoring.Location.ID,Monitoring.Location.Name,Provo,Monitoring.Location.Latitude,Monitoring.Location.Longitude
UTAHDWQ_WQX-4917300,1978-08-31,,,0.1,,69.5434166410309,,1978,8,4917300,UTAH LAKE 300 FT OFFSHORE FROM GENEVA STEEL,0,40.32078534,-111.7677084
UTAHDWQ_WQX-4917300,1989-07-11,147.6,2.4,0.352,79.5961029983521,87.413562693493,47.3844954947303,1989,7,4917300,UTAH LAKE 300 FT OFFSHORE FROM GENEVA STEEL,0,40.32078534,-111.7677084
UTAHDWQ_WQX-4917300,1990-08-14,163.1,0.13,0.243,80.5757060294406,82.1514724954358,89.3995821390677,1990,8,4917300,UTAH LAKE 300 FT OFFSHORE FROM GENEVA STEEL,0,40.32078534,-111.7677084
UTAHDWQ_WQX-4917300,1994-07-19,55.3,,,69.9653022326625,,,1994,7,4917300,UTAH LAKE 300 FT OFFSHORE FROM GENEVA STEEL,0,40.32078534,-111.7677084
UTAHDWQ_WQX-4917310,1990-09-12,37.45,0.1,,66.1416958247393,,93.1802511900442,1990,9,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,1990-10-18,66.8,0.18,0.155,71.8187072201229,75.7666366602533,84.7102453488047,1990,10,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,1990-11-16,37,0.19,0.07,66.0231047230398,64.4786324371009,83.9311366903,1990,11,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,1991-01-22,57.8,0.5,0.25,70.3990598894044,82.5547450336439,69.9882508718688,1991,1,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,1991-04-04,34.6,0.05,0.072,65.3652046210447,64.878658890028,103.168502061913,1991,4,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,1991-05-07,71.1,0.05,0.076,72.4306967740982,65.6464134320659,103.168502061913,1991,5,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
