Year,Month,MonthLab,Elevation (ft),Rel_comp
1932,1,JAN,4482.805,-6.24
1932,2,FEB,4483.505,-5.54
1932,3,MAR,4484.005,-5.04
1932,4,APR,4484.205,-4.84
1932,5,MAY,4483.905,-5.14
1932,6,JUN,4483.005,-6.04
1932,7,JUL,4482.005,-7.04
1932,8,AUG,4481.505,-7.54
1932,9,SEP,4481.205,-7.84
1932,10,OCT,4481.405,-7.64
1932,11,NOV,4481.805,-7.24
1932,12,DEC,4482.705,-6.34
1933,1,JAN,4482.805,-6.24
1933,2,FEB,4483.505,-5.54
1933,3,MAR,4484.005,-5.04
1933,4,APR,4483.905,-5.14
1933,5,MAY,4483.505,-5.54
1933,6,JUN,4482.505,-6.54
1933,7,JUL,4481.405,-7.64
1933,8,AUG,4480.805,-8.24
1933,9,SEP,4480.405,-8.64
1933,10,OCT,4480.405,-8.64
1933,11,NOV,4480.805,-8.24
1933,12,DEC,4482.205,-6.84
1934,1,JAN,4481.905,-7.14
1934,2,FEB,4482.305,-6.74
1934,3,MAR,4482.105,-6.94
1934,4,APR,4481.305,-7.74
1934,5,MAY,4480.505,-8.54
1934,6,JUN,4479.905,-9.14
1934,7,JUL,4479.305,-9.74
1934,8,AUG,4478.405,-10.64
1934,9,SEP,4477.605,-11.44
1934,10,OCT,4477.805,-11.24
1934,11,NOV,4478.405,-10.64
1934,12,DEC,4480.205,-8.84
1935,1,JAN,4479.805,-9.24
1935,2,FEB,4480.105,-8.94
1935,3,MAR,4480.305,-8.74
1935,4,APR,4480.305,-8.74
1935,5,MAY,4480.205,-8.84
1935,6,JUN,4479.305,-9.74
1935,7,JUL,4478.205,-10.84
1935,8,AUG,4477.405,-11.64
1935,9,SEP,4477.205,-11.84
1935,10,OCT,4477.505,-11.54
1935,11,NOV,4478.105,-10.94
1935,12,DEC,4479.105,-9.94
1936,1,JAN,4479.705,-9.34
1936,2,FEB,4480.405,-8.64
1936,3,MAR,4481.105,-7.94
1936,4,APR,4481.705,-7.34
1936,5,MAY,4481.705,-7.34
1936,6,JUN,4481.005,-8.04
1936,7,JUL,4480.305,-8.74
1936,8,AUG,4479.705,-9.34
1936,9,SEP,4479.305,-9.74
1936,10,OCT,4479.805,-9.24
1936,11,NOV,4480.505,-8.54
1936,12,DEC,4480.405,-8.64
1937,1,JAN,4481.905,-7.14
1937,2,FEB,4482.705,-6.34
1937,3,MAR,4483.405,-5.64
1937,4,APR,4483.805,-5.24
1937,5,MAY,4483.705,-5.34
1937,6,JUN,4483.105,-5.94
1937,7,JUL,4482.205,-6.84
1937,8,AUG,4481.305,-7.74
1937,9,SEP,4481.105,-7.94
1937,10,OCT,4481.505,-7.54
1937,11,NOV,4482.105,-6.94
1937,12,DEC,4482.405,-6.64
1938,1,JAN,4483.205,-5.84
1938,2,FEB,4483.905,-5.14
1938,3,MAR,4484.505,-4.54
1938,4,APR,4485.055,-3.99
1938,5,MAY,4484.905,-4.14
1938,6,JUN,4484.105,-4.94
1938,7,JUL,4483.105,-5.94
1938,8,AUG,4482.205,-6.84
1938,9,SEP,4481.805,-7.24
1938,10,OCT,4482.205,-6.84
1938,11,NOV,4482.905,-6.14
1938,12,DEC,4483.405,-5.64
1939,1,JAN,4484.105,-4.94
1939,2,FEB,4484.705,-4.34
1939,3,MAR,4485.305,-3.74
1939,4,APR,4484.805,-4.24
1939,5,MAY,4484.105,-4.94
1939,6,JUN,4483.105,-5.94
1939,7,JUL,4482.105,-6.94
1939,8,AUG,4481.405,-7.64
1939,9,SEP,4481.305,-7.74
1939,10,OCT,4481.405,-7.64
1939,11,NOV,4481.705,-7.34
1939,12,DEC,4483.205,-5.84
1940,1,JAN,4483.105,-5.94
1940,2,FEB,4483.705,-5.34
1940,3,MAR,4484.105,-4.94
1940,4,APR,4483.805,-5.24
1940,5,MAY,4482.805,-6.24
1940,6,JUN,4481.705,-7.34
1940,7,JUL,4480.505,-8.54
1940,8,AUG,4479.805,-9.24
1940,9,SEP,4479.505,-9.54
1940,10,OCT,4479.805,-9.24
1940,11,NOV,4480.305,-8.74
1940,12,DEC,4481.905,-7.14
1941,1,JAN,4481.605,-7.44
1941,2,FEB,4482.405,-6.64
1941,3,MAR,4483.005,-6.04
1941,4,APR,4483.105,-5.94
1941,5,MAY,4482.805,-6.24
1941,6,JUN,4482.205,-6.84
1941,7,JUL,4481.405,-7.64
1941,8,AUG,4480.705,-8.34
1941,9,SEP,4480.605,-8.44
1941,10,OCT,4481.205,-7.84
1941,11,NOV,4481.905,-7.14
1941,12,DEC,4481.805,-7.24
1942,1,JAN,4483.305,-5.74
1942,2,FEB,4484.005,-5.04
1942,3,MAR,4484.605,-4.44
1942,4,APR,4485.055,-3.99
1942,5,MAY,4484.705,-4.34
1942,6,JUN,4483.905,-5.14
1942,7,JUL,4482.905,-6.14
1942,8,AUG,4482.005,-7.04
1942,9,SEP,4481.505,-7.54
1942,10,OCT,4481.805,-7.24
1942,11,NOV,4482.305,-6.74
1942,12,DEC,4483.205,-5.84
1943,1,JAN,4483.405,-5.64
1943,2,FEB,4484.105,-4.94
1943,3,MAR,4484.705,-4.34
1943,4,APR,4484.505,-4.54
1943,5,MAY,4484.405,-4.64
1943,6,JUN,4483.605,-5.44
1943,7,JUL,4482.705,-6.34
1943,8,AUG,4481.805,-7.24
1943,9,SEP,4481.405,-7.64
1943,10,OCT,4481.705,-7.34
1943,11,NOV,4482.205,-6.84
1943,12,DEC,4483.105,-5.94
1944,1,JAN,4483.505,-5.54
1944,2,FEB,4484.305,-4.74
1944,3,MAR,4485.005,-4.04
1944,4,APR,4485.855,-3.19
1944,5,MAY,4486.255,-2.79
1944,6,JUN,4485.655,-3.39
1944,7,JUL,4484.505,-4.54
1944,8,AUG,4483.505,-5.54
1944,9,SEP,4483.205,-5.84
1944,10,OCT,4483.505,-5.54
1944,11,NOV,4484.005,-5.04
1944,12,DEC,4484.405,-4.64
1945,1,JAN,4485.205,-3.84
1945,2,FEB,4485.905,-3.14
1945,3,MAR,4486.455,-2.59
1945,4,APR,4487.005,-2.04
1945,5,MAY,4487.055,-1.99
1945,6,JUN,4486.455,-2.59
1945,7,JUL,4485.755,-3.29
1945,8,AUG,4485.105,-3.94
1945,9,SEP,4484.905,-4.14
1945,10,OCT,4485.205,-3.84
1945,11,NOV,4485.805,-3.24
1945,12,DEC,4485.805,-3.24
1946,1,JAN,4486.855,-2.19
1946,2,FEB,4487.255,-1.79
1946,3,MAR,4487.855,-1.19
1946,4,APR,4487.805,-1.24
1946,5,MAY,4487.205,-1.84
1946,6,JUN,4486.155,-2.89
1946,7,JUL,4485.255,-3.79
1946,8,AUG,4484.505,-4.54
1946,9,SEP,4484.205,-4.84
1946,10,OCT,4485.055,-3.99
1946,11,NOV,4485.905,-3.14
