"Date","Year","Month","Fraction","Depth","Monitoring.Location.ID","Result.Unit","Nitrogen","Phosphate-phosphorus","NP_mass","NP_mol"
1978-08-31,1978,8,"Total","Surface",4917300,"mg/l",NA,0.1,NA,NA
1978-08-31,1978,8,"Total","Surface",4917770,"mg/l",NA,0.05,NA,NA
1989-07-11,1989,7,"Total","Bottom",4917370,"mg/l",NA,0.105,NA,NA
1989-07-11,1989,7,"Total","Bottom",4917390,"mg/l",NA,0.068,NA,NA
1989-07-11,1989,7,"Total","Bottom",4917500,"mg/l",NA,0.111,NA,NA
1989-07-11,1989,7,"Total","Bottom",4917530,"mg/l",NA,0.106,NA,NA
1989-07-11,1989,7,"Total","Bottom",4917770,"mg/l",NA,0.103,NA,NA
1989-07-11,1989,7,"Total","Surface",4917300,"mg/l",NA,0.352,NA,NA
1989-07-11,1989,7,"Total","Surface",4917370,"mg/l",NA,0.113,NA,NA
1989-07-11,1989,7,"Total","Surface",4917390,"mg/l",NA,0.069,NA,NA
1989-07-11,1989,7,"Total","Surface",4917500,"mg/l",NA,0.008,NA,NA
1989-07-11,1989,7,"Total","Surface",4917530,"mg/l",NA,0.093,NA,NA
1989-07-11,1989,7,"Total","Surface",4917620,"mg/l",NA,0.096,NA,NA
1990-08-14,1990,8,"Dissolved","Surface",4917300,"mg/l",NA,0.034,NA,NA
1990-08-14,1990,8,"Dissolved","Surface",4917320,"mg/l",NA,0.031,NA,NA
1990-08-14,1990,8,"Dissolved","Surface",4917330,"mg/l",NA,0.023,NA,NA
1990-08-14,1990,8,"Dissolved","Surface",4917340,"mg/l",NA,0.023,NA,NA
1990-08-14,1990,8,"Dissolved","Surface",4917370,"mg/l",NA,0.028,NA,NA
1990-08-14,1990,8,"Dissolved","Surface",4917380,"mg/l",NA,0.035,NA,NA
1990-08-14,1990,8,"Dissolved","Surface",4917390,"mg/l",NA,0.031,NA,NA
1990-08-14,1990,8,"Dissolved","Surface",4917400,"mg/l",NA,0.027,NA,NA
1990-08-14,1990,8,"Dissolved","Surface",4917410,"mg/l",NA,0.019,NA,NA
1990-08-14,1990,8,"Dissolved","Surface",4917420,"mg/l",NA,0.023,NA,NA
1990-08-14,1990,8,"Dissolved","Surface",4917500,"mg/l",NA,0.024,NA,NA
1990-08-14,1990,8,"Dissolved","Surface",4917510,"mg/l",NA,0.039,NA,NA
1990-08-14,1990,8,"Dissolved","Surface",4917520,"mg/l",NA,0.045,NA,NA
1990-08-14,1990,8,"Dissolved","Surface",4917620,"mg/l",NA,0.06,NA,NA
1990-08-14,1990,8,"Dissolved","Surface",4917700,"mg/l",NA,0.036,NA,NA
