Lab_Name,Project,SiteName,Monitoring Location ID,Monitoring Location Latitude,Monitoring Location Longitude,Date,SampleType,SampleDepth,SampleZone,CollectionProcedure,Genus,Taxon,Division,NumberinStand,RankinStand,RelativeDensity,turalUnitsperML,CellperML,CellVolume_u3mL
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,8/28/2002,Total Plankton Sample,,Surface,Water column,Dolichospermum,Anabaena spiroides var. crassa,Cyanophyta,11,2,5.3,30.8,678,1886438
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,8/28/2002,Total Plankton Sample,,Surface,Water column,Aphanizomenon,Aphanizomenon flos-aquae,Cyanophyta,621,1,92.5,1738.8,106067,33037200
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,8/28/2002,Total Plankton Sample,,Surface,Water column,Ceratium,Ceratium hirundinella,Dinophyta,2,4,0.6,5.6,6,217996.8
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,8/28/2002,Total Plankton Sample,,Surface,Water column,Euglena,Euglena species,Euglenophyta,13,3,0.8,36.4,36,269360
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,8/28/2002,Total Plankton Sample,,Surface,Water column,Euglena,Euglena species 2,Euglenophyta,1,9,0.1,2.8,3,19600
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,8/28/2002,Total Plankton Sample,,Surface,Water column,Melosira,Melosira granulata var. angustissima,Bacillariophyta,3,8,0.1,8.4,76,38640
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,8/28/2002,Total Plankton Sample,,Surface,Water column,Oocystis,Oocystis borgei,Chlorophyta,4,7,0.1,11.2,45,44800
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,8/28/2002,Total Plankton Sample,,Surface,Water column,Pennate diatom,pennate diatoms,Bacillariophyta,30,6,0.2,84,84,67200
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,8/28/2002,Total Plankton Sample,,Surface,Water column,Phacus,Phacus species,Euglenophyta,10,5,0.4,28,28,140000
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,8/28/2002,Total Plankton Sample,,Surface,Water column,,unknown spherical chlorophyta,Chlorophyta,4,10,0,11.2,11,11200
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/15/2004,Total Plankton Sample,,Surface,Water column,Ankistrodesmus,Ankistrodesmus falcatus,Chlorophyta,2,13,0.2,11.2,11,8792
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/15/2004,Total Plankton Sample,,Surface,Water column,Centric diatom,centric diatoms,Bacillariophyta,87,3,9.2,487.2,487,341040
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/15/2004,Total Plankton Sample,,Surface,Water column,Chlamydomonas,Chlamydomonas species,Chlorophyta,2,14,0.1,11.2,11,4480
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/15/2004,Total Plankton Sample,,Surface,Water column,Crucigenia,Crucigenia species,Chlorophyta,4,12,0.4,22.4,358,15680
