Activity Relative Depth,Characteristic Name,Sample Fraction,Parameter,Fraction,Depth
Surface,.alpha.-Endosulfan,Total,.alpha.-Endosulfan,Total,Surface
Bottom,.alpha.-Endosulfan,Total,.alpha.-Endosulfan,Total,Bottom
,.alpha.-Endosulfan,Total,.alpha.-Endosulfan,Total,
Surface,.alpha.-Hexachlorocyclohexane,Total,.alpha.-Hexachlorocyclohexane,Total,Surface
Bottom,.alpha.-Hexachlorocyclohexane,Total,.alpha.-Hexachlorocyclohexane,Total,Bottom
,.alpha.-Hexachlorocyclohexane,Total,.alpha.-Hexachlorocyclohexane,Total,
Surface,.beta.-Endosulfan,Total,.beta.-Endosulfan,Total,Surface
Bottom,.beta.-Endosulfan,Total,.beta.-Endosulfan,Total,Bottom
,.beta.-Endosulfan,Total,.beta.-Endosulfan,Total,
Surface,.beta.-Hexachlorocyclohexane,Total,.beta.-Hexachlorocyclohexane,Total,Surface
Bottom,.beta.-Hexachlorocyclohexane,Total,.beta.-Hexachlorocyclohexane,Total,Bottom
,.beta.-Hexachlorocyclohexane,Total,.beta.-Hexachlorocyclohexane,Total,
Surface,.delta.-Hexachlorocyclohexane,Total,.delta.-Hexachlorocyclohexane,Total,Surface
Bottom,.delta.-Hexachlorocyclohexane,Total,.delta.-Hexachlorocyclohexane,Total,Bottom
,.delta.-Hexachlorocyclohexane,Total,.delta.-Hexachlorocyclohexane,Total,
Surface,"2,4,5-T",Total,"2,4,5-T",Total,Surface
Bottom,"2,4,5-T",Total,"2,4,5-T",Total,Bottom
Surface,"2,4-D",Total,"2,4-D",Total,Surface
Bottom,"2,4-D",Total,"2,4-D",Total,Bottom
Surface,Aldrin,Total,Aldrin,Total,Surface
Bottom,Aldrin,Total,Aldrin,Total,Bottom
,Aldrin,Total,Aldrin,Total,
Surface,"Alkalinity, total",Total,"Alkalinity, total",Total,Surface
Bottom,Aluminum,Dissolved,Aluminum,Dissolved,Bottom
,Aluminum,Dissolved,Aluminum,Dissolved,
Surface,Aluminum,Dissolved,Aluminum,Dissolved,Surface
Surface,Ammonia-nitrogen,Total,Ammonia-nitrogen,Total,Surface
,Ammonia-nitrogen,Total,Ammonia-nitrogen,Total,
Bottom,Ammonia-nitrogen,Total,Ammonia-nitrogen,Total,Bottom
Surface,Aroclor 1016,Total,Aroclor 1016,Total,Surface
Bottom,Aroclor 1016,Total,Aroclor 1016,Total,Bottom
,Aroclor 1016,Total,Aroclor 1016,Total,
Surface,Aroclor 1221,Total,Aroclor 1221,Total,Surface
Bottom,Aroclor 1221,Total,Aroclor 1221,Total,Bottom
,Aroclor 1221,Total,Aroclor 1221,Total,
Surface,Aroclor 1232,Total,Aroclor 1232,Total,Surface
Bottom,Aroclor 1232,Total,Aroclor 1232,Total,Bottom
,Aroclor 1232,Total,Aroclor 1232,Total,
Surface,Aroclor 1242,Total,Aroclor 1242,Total,Surface
Bottom,Aroclor 1242,Total,Aroclor 1242,Total,Bottom
,Aroclor 1242,Total,Aroclor 1242,Total,
Surface,Aroclor 1248,Total,Aroclor 1248,Total,Surface
Bottom,Aroclor 1248,Total,Aroclor 1248,Total,Bottom
,Aroclor 1248,Total,Aroclor 1248,Total,
Surface,Aroclor 1254,Total,Aroclor 1254,Total,Surface
Bottom,Aroclor 1254,Total,Aroclor 1254,Total,Bottom
,Aroclor 1254,Total,Aroclor 1254,Total,
Surface,Aroclor 1260,Total,Aroclor 1260,Total,Surface
Bottom,Aroclor 1260,Total,Aroclor 1260,Total,Bottom
,Aroclor 1260,Total,Aroclor 1260,Total,
Surface,Arsenic,Dissolved,Arsenic,Dissolved,Surface
Surface,Arsenic,Acid Soluble,Arsenic,Total,Surface
Bottom,Arsenic,Acid Soluble,Arsenic,Total,Bottom
Bottom,Arsenic,Dissolved,Arsenic,Dissolved,Bottom
,Arsenic,Dissolved,Arsenic,Dissolved,
Surface,Barium,Dissolved,Barium,Dissolved,Surface
Surface,Barium,Acid Soluble,Barium,Total,Surface
Bottom,Barium,Acid Soluble,Barium,Total,Bottom
Bottom,Barium,Dissolved,Barium,Dissolved,Bottom
,Barium,Dissolved,Barium,Dissolved,
Surface,Bicarbonate,Total,Bicarbonate,Total,Surface
Bottom,Bicarbonate,Total,Bicarbonate,Total,Bottom
,Bicarbonate,Total,Bicarbonate,Total,
Surface,"Biochemical oxygen demand, standard conditions",Total,"Biochemical oxygen demand, standard conditions",Total,Surface
,"Biochemical oxygen demand, standard conditions",Total,"Biochemical oxygen demand, standard conditions",Total,
Surface,BoD,,BoD,,Surface
,BoD,,BoD,,
Surface,Boron,Dissolved,Boron,Dissolved,Surface
Bottom,Boron,Dissolved,Boron,Dissolved,Bottom
,Boron,Dissolved,Boron,Dissolved,
Surface,Cadmium,Acid Soluble,Cadmium,Total,Surface
Bottom,Cadmium,Acid Soluble,Cadmium,Total,Bottom
Bottom,Cadmium,Dissolved,Cadmium,Dissolved,Bottom
Surface,Cadmium,Dissolved,Cadmium,Dissolved,Surface
,Cadmium,Dissolved,Cadmium,Dissolved,
Surface,Calcium,Dissolved,Calcium,Dissolved,Surface
Bottom,Calcium,Dissolved,Calcium,Dissolved,Bottom
,Calcium,Dissolved,Calcium,Dissolved,
Surface,Calcium carbonate,Total,Calcium carbonate,Total,Surface
Bottom,Calcium carbonate,Total,Calcium carbonate,Total,Bottom
,Calcium carbonate,Total,Calcium carbonate,Total,
Surface,Carbon dioxide,Total,Carbon dioxide,Total,Surface
Bottom,Carbon dioxide,Total,Carbon dioxide,Total,Bottom
,Carbon dioxide,Total,Carbon dioxide,Total,
Surface,"Carbonaceous biochemical oxygen demand, standard conditions",Dissolved,"Carbonaceous biochemical oxygen demand, standard conditions",Dissolved,Surface
